Company _(Maker-if_known),Specific_Bean_Origin_or_Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating
0,0,1876,2016,63.0,0,3.75
0,1,1676,2015,70.0,0,2.75
0,2,1676,2015,70.0,0,3.0
0,3,1680,2015,70.0,0,3.5
0,4,1704,2015,70.0,0,3.5
0,5,1315,2014,70.0,0,2.75
0,6,1315,2014,70.0,0,3.5
0,7,1315,2014,70.0,0,3.5
0,8,1319,2014,70.0,0,3.75
0,9,1319,2014,70.0,0,4.0
0,10,1011,2013,70.0,0,2.75
0,11,1011,2013,70.0,0,3.0
0,12,1011,2013,70.0,0,3.25
0,13,1011,2013,70.0,0,3.75
0,14,1015,2013,70.0,0,2.75
0,15,1015,2013,70.0,0,3.0
0,16,1015,2013,70.0,0,3.25
0,17,1015,2013,70.0,0,4.0
0,18,1019,2013,70.0,0,3.25
0,19,1019,2013,70.0,0,3.5
0,19,1019,2013,63.0,0,4.0
0,20,797,2012,70.0,0,3.5
0,21,797,2012,63.0,0,3.75
1,22,1462,2015,70.0,1,3.75
1,23,1470,2015,70.0,1,3.75
2,24,705,2011,60.0,2,2.75
2,25,705,2011,80.0,2,3.25
2,24,705,2011,88.0,2,3.5
2,26,705,2011,72.0,2,3.5
3,27,370,2009,55.0,3,2.75
3,27,370,2009,70.0,3,3.0
4,28,316,2009,70.0,4,3.0
5,29,636,2011,75.0,5,3.75
5,30,502,2010,75.0,5,2.75
5,31,508,2010,75.0,5,2.75
6,32,1215,2014,65.0,0,2.75
6,33,1215,2014,75.0,0,2.75
6,11,1215,2014,75.0,0,3.0
6,17,1061,2013,75.0,0,2.5
6,34,1173,2013,75.0,0,2.5
7,35,1944,2017,70.0,6,3.5
7,36,1944,2017,70.0,6,3.5
7,37,1944,2017,70.0,6,3.5
7,38,1944,2017,70.0,6,3.5
8,39,1728,2016,60.0,1,2.75
8,40,1728,2016,60.0,1,3.0
8,41,1732,2016,60.0,1,2.5
8,42,1732,2016,60.0,1,2.5
8,43,1732,2016,60.0,1,2.75
8,7,1125,2013,60.0,1,2.5
8,44,1125,2013,60.0,1,3.0
8,20,1129,2013,80.0,1,3.25
8,20,1133,2013,60.0,1,3.0
8,21,1133,2013,60.0,1,3.25
9,45,725,2011,70.0,1,4.0
9,46,470,2010,70.0,1,3.75
9,47,470,2010,70.0,1,4.0
9,17,544,2010,70.0,1,3.0
9,48,363,2009,70.0,1,3.0
9,49,304,2008,70.0,1,2.75
9,11,129,2007,70.0,1,3.5
9,50,147,2007,70.0,1,3.0
9,51,175,2007,70.0,1,3.75
10,52,322,2009,70.0,7,3.0
10,53,327,2009,70.0,7,2.75
10,53,464,2009,85.0,7,2.75
10,52,464,2009,85.0,7,3.0
11,54,1145,2013,72.0,8,3.25
11,55,1145,2013,73.0,8,3.5
12,56,1494,2015,64.0,9,3.0
12,11,1494,2015,66.0,9,3.25
12,57,1498,2015,75.0,9,3.25
12,16,1498,2015,63.0,9,3.25
12,58,1498,2015,70.0,9,3.25
12,21,1498,2015,68.0,9,3.5
13,59,979,2012,70.0,10,3.75
13,60,111,2007,70.0,10,4.0
13,61,111,2007,75.0,10,4.0
13,17,111,2007,70.0,10,5.0
13,53,123,2007,70.0,10,3.0
13,62,123,2007,70.0,10,3.0
13,63,123,2007,70.0,10,3.5
