CustomerID,country,recency_days,frequency,total_quantity,monetary,avg_unit_price,num_products,avg_basket_value,country_group,cluster_kmeans,cluster_dbscan,cluster_none,cluster_standard,cluster_minmax
12346,United Kingdom,326,1,74215,77183.6,1.04,1,77183.6,United Kingdom,0,-1,1,0,1
12347,Iceland,2,7,2458,4310.0,2.644010989010989,103,615.7142857142857,Other,0,0,0,0,0
12348,Finland,75,4,2341,1797.24,5.764838709677419,22,449.31,Other,0,0,0,0,1
12349,Italy,19,1,631,1757.55,8.289041095890411,73,1757.55,Other,0,-1,0,0,0
12350,Norway,310,1,197,334.4,3.841176470588235,17,334.4,Other,1,0,0,1,1
12352,Norway,36,8,536,2506.04,15.93070588235294,59,313.255,Other,0,-1,0,0,0
12353,Bahrain,204,1,20,89.0,6.074999999999999,4,89.0,Other,1,0,0,1,1
12354,Spain,232,1,530,1079.4,4.5037931034482765,58,1079.4,Spain,1,0,0,1,1
12355,Bahrain,214,1,240,459.4,4.203846153846154,13,459.4,Other,1,0,0,1,1
12356,Portugal,23,3,1591,2811.43,3.201186440677966,53,937.1433333333333,Other,0,0,0,0,0
12357,Switzerland,33,1,2708,6207.67,3.3486259541984733,131,6207.67,Switzerland,0,0,0,0,0
12358,Austria,2,2,248,1168.06,8.27421052631579,13,584.03,Other,0,0,0,0,0
12359,Cyprus,58,4,1622,6372.58,8.620403225806452,214,1593.145,Other,0,0,0,0,0
12360,Austria,52,3,1165,2662.06,3.5496899224806198,105,887.3533333333334,Other,0,0,0,0,0
12361,Belgium,287,1,91,189.9,3.335,10,189.9,Belgium,1,0,0,1,1
12362,Belgium,3,10,2229,5226.23,3.94093984962406,201,522.6229999999999,Belgium,0,0,0,0,0
12363,Unspecified,110,2,408,552.0,2.3117391304347827,23,276.0,Other,1,0,0,1,1
12364,Belgium,8,4,1506,1313.1,1.910235294117647,70,328.275,Belgium,0,0,0,0,0
12365,Cyprus,291,2,174,641.38,17.150454545454547,22,320.69,Other,1,0,0,1,1
12367,Denmark,4,1,173,168.9,3.2,11,168.9,Other,1,0,0,1,0
12370,Cyprus,51,4,2353,3545.69,2.800299401197605,143,886.4225,Other,0,0,0,0,0
12371,Switzerland,45,2,591,1887.96,3.8742857142857146,63,943.98,Switzerland,0,0,0,0,0
12372,Denmark,72,3,794,1298.04,3.001346153846154,34,432.68,Other,0,0,0,0,1
12373,Austria,311,1,197,364.6,4.582142857142857,14,364.6,Other,1,0,0,1,1
12374,Austria,25,1,342,742.9300000000001,4.21969696969697,33,742.9300000000001,Other,1,0,0,1,1
12375,Finland,11,2,178,457.5,6.912941176470589,14,228.75,Other,1,0,0,1,0
12377,Switzerland,315,2,944,1628.12,2.718831168831169,72,814.06,Switzerland,0,0,0,0,1
12378,Switzerland,130,1,2529,4008.62,2.9974429223744297,219,4008.62,Switzerland,0,0,0,0,1
12379,Belgium,82,2,407,852.24,2.86625,39,426.12,Belgium,1,0,0,1,1
12380,Belgium,22,4,1127,2724.81,3.378653846153846,77,681.2025,Belgium,0,0,0,0,0
12381,Norway,5,5,808,1845.31,4.683218390804598,70,369.062,Other,0,0,0,0,0
12383,Belgium,185,5,1532,1850.56,3.086969696969697,84,370.11199999999997,Belgium,0,0,0,0,1
12384,Switzerland,29,2,126,585.27,7.87925925925926,26,292.635,Switzerland,1,0,0,1,1
12386,Australia,338,2,354,401.9,2.391,10,200.95,Other,1,0,0,1,1
12388,Australia,16,6,1462,2780.66,2.7777,57,463.4433333333333,Other,0,0,0,0,0
12390,Belgium,80,1,353,549.84,3.996875,32,549.84,Belgium,1,0,0,1,1
12391,Cyprus,22,1,300,460.89,2.4599,92,460.89,Other,1,0,0,1,0
12393,Australia,72,4,816,1582.6000000000001,2.2796875,47,395.65000000000003,Other,0,0,0,0,1
12394,Belgium,64,2,819,1272.48,3.3707407407407404,26,636.24,Belgium,0,0,0,0,1
12395,Belgium,19,12,2118,3018.63,3.9688461538461537,91,251.5525,Belgium,0,0,0,0,0
12397,Belgium,36,2,1263,2409.9,3.4682539682539684,110,1204.95,Belgium,0,0,0,0,0
12398,Switzerland,46,1,1394,1635.6599999999999,1.992705882352941,85,1635.6599999999999,Switzerland,0,0,0,0,0
12399,Belgium,119,4,1178,1108.65,2.1145762711864404,47,277.1625,Belgium,0,0,0,0,1
12401,Belgium,303,1,11,84.3,9.68,5,84.3,Belgium,1,0,0,1,1
12402,Belgium,323,1,94,225.6,3.290909090909091,11,225.6,Belgium,1,0,0,1,1
12403,Denmark,50,1,96,427.7,7.080000000000001,5,427.7,Other,1,0,0,1,1
12405,Finland,149,1,857,1710.39,3.5442592592592597,54,1710.39,Other,0,0,0,0,1
12406,Denmark,22,2,1818,3415.3,2.487047619047619,92,1707.65,Other,0,0,0,0,0
12407,Belgium,50,5,1416,1708.1200000000001,3.2674025974025973,57,341.624,Belgium,0,0,0,0,0
12408,Belgium,33,5,1409,2888.55,3.0228571428571427,81,577.71,Belgium,0,0,0,0,0
12409,Switzerland,79,3,5551,11072.67,3.574495412844037,91,3690.89,Switzerland,0,-1,0,0,0
12410,Switzerland,309,2,211,693.3299999999999,6.335384615384616,26,346.66499999999996,Switzerland,1,0,0,1,1
12412,Denmark,75,3,829,1226.88,2.7137704918032783,43,408.96000000000004,Other,0,0,0,0,1
12413,France,67,3,286,758.1,4.798421052631579,29,252.70000000000002,France,1,0,0,1,1
12414,Austria,217,3,300,562.41,8.57,16,187.47,Other,1,0,0,1,1
12415,Australia,24,21,77374,124914.53,2.9370868347338934,444,5948.310952380953,Other,0,-1,1,0,0
12417,Belgium,3,9,1552,3649.1,5.337916666666666,158,405.4555555555555,Belgium,0,0,0,0,0
12418,Switzerland,113,1,407,668.58,3.5644117647058824,34,668.58,Switzerland,1,0,0,1,1
12420,Cyprus,64,1,345,600.39,4.707241379310345,29,600.39,Other,1,0,0,1,1
12421,Spain,16,4,484,807.04,4.520222222222222,32,201.76,Spain,0,0,0,0,0
12422,Australia,96,3,370,803.5600000000001,3.26025641025641,39,267.85333333333335,Other,1,0,0,1,1
12423,Belgium,1,8,1339,1859.31,2.9135999999999997,97,232.41375,Belgium,0,0,0,0,0
